"索引","DMM-1 时间 (s)","DMM-1 电压 (V)"
"819","146.0555724","0.830839"
"820","146.2033233","0.8295853"
"821","146.3508607","0.8115942"
"822","146.4975185","0.5771486"
"823","146.6435593","0.1503451"
"824","147.1240797","0.07769807"
"825","147.2728372","0.08103179"
"826","147.4202646","0.08207449"
"827","147.5688968","0.0817859"
"828","147.7149438","0.08124413"
"829","147.8640397","0.08048666"
"830","148.0108967","0.07944629"
"831","148.1608787","0.07848576"
"832","148.3108529","0.0782765"
"833","148.4627264","0.07751804"
"834","148.6135544","0.07818998"
"835","148.7635168","0.8181751"
"836","149.2349733","0.8290505"
"837","149.3825842","0.8301029"
"838","149.5277345","0.8294488"
"839","149.6755898","0.8292037"
"840","149.8222706","0.8261998"
"841","149.9688186","0.7955227"
"842","150.1182029","0.3921502"
"843","150.26388","0.1070099"
"844","150.4095676","0.06487322"
"845","150.5569478","0.0705419"
"846","150.7036599","0.07723417"
"847","151.1974512","0.0810861"
"848","151.3477077","0.08033558"
"849","151.4975123","0.07942833"
"850","151.6475043","0.07849863"
"851","151.7966143","0.07779789"
"852","151.9440608","0.07710213"
"853","152.0905765","0.07656012"
"854","152.2414132","0.07767889"
"855","152.3938789","0.09371188"
"856","152.5460748","0.2703193"
"857","152.6975864","0.8160526"
"858","153.1843505","0.8276191"
"859","153.3302586","0.8274515"
"860","153.4787154","0.8218362"
"861","153.6255326","0.7647994"
"862","153.7733671","0.2579239"
"863","153.9191826","0.08085015"
"864","154.0655963","0.06412453"
"865","154.2131406","0.07158133"
"866","154.3614418","0.07685681"
"867","154.5086018","0.07929394"
"868","154.6569507","0.0804492"
